Source sentence,Answer sentence,Event1,Event2,labels
"The gross proceeds from the sale of the notes , which will be due on Nov . 1 , 2004 , will be used to reduce existing debt and for general corporate purposes , the company said . ",sale is the cause of proceeds ,sale ,proceeds ,Cause-Effect
"In an interview , W. Brent LeGere , chairman and chief executive officer , said he expects revenue in the latest quarter to total about $ 28 million . Chandler Insurance Co. said it expects to report third-quarter net income jumped 97 % to $ 2.8 million , or 51 cents a share . ",expects and said have no relationship,expects ,said ,NONE
"Bush , commenting on the two-week gulf crisis from his vacation home in Maine , said he saw little reason to be optimistic about a settlement of the dispute , which stems from Iraq 's invasion of oil-wealthy Kuwait and its subsequent military buildup on the border of Saudi Arabia . ",invasion is the cause of dispute ,invasion ,dispute ,Cause-Effect
"Mark Shepperd , an analyst at UBS Phillips amp Drew in London , said , "" I suspect ( the departure ) will be fairly irrelevant for the company . Reuters Holdings PLC said Michael Reupke resigned as general manager to pursue unspecified interests , a move the news organization termed an "" amicable separation . "" ",suspect and said have no relationship,suspect ,said ,NONE
"Ralston Purina Co. reported a 47 % decline in fourth-quarter earnings , reflecting restructuring costs as well as a more difficult pet food market . ",decline is the cause of costs ,decline ,costs ,Cause-Effect
"And because the Federal Reserve has made clear that it expects the economy to slow in coming months as ripple effects from Asia reach the United States , investors disregarded the large jobs gains , betting that neither a rise in interest rates nor resurgent inflation is looming . ",made is the cause of disregarded ,made ,disregarded ,Cause-Effect
"Imports of the types of watches that now will be eligible for duty-free treatment totaled about $ 37.3 million in 1988 , a relatively small share of the $ 1.5 billion in U.S. watch imports that year , according to an aide to U.S. Trade Representative Carla Hills . The action came in response to a petition filed by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations . ",eligible and action have no relationship,eligible ,action ,NONE
"Though Mr. Packer has since sold his stake , Courtaulds is moving to keep its institutional shareholders happy . Some analysts have said Courtaulds ' moves could boost the company 's value by 5 % to 10 % , because the two entities separately will carry a higher price earnings multiple than they did combined . ",sold and said have no relationship,sold ,said ,NONE
"Iraq 's Saddam Hussein , facing U.S. and Arab troops at the Saudi border , today sought peace on another front by promising to withdraw from Iranian territory and release soldiers captured during the Iran - Iraq war . Bush then sent U.S. troops and planes to Saudi Arabia , saying Iraqi troops massed nearby in Kuwait threatened Saudi Arabia and its vast oil reserves . ",facing and saying have no relationship,facing ,saying ,NONE
The warrants may be exercised until 90 days after their issue date . AVON RENT-A-CAR amp TRUCK Corp. said it declared a dividend of one warrant for each three shares of common stock . ,exercised and declared have no relationship,exercised ,declared ,NONE
The U.N. Security Council on Aug . 6 ordered a global embargo on trade with Iraq as punishment for seizing Kuwait . ,seizing is the cause of ordered ,seizing ,ordered ,Cause-Effect
"The Rockford , Ill . , maker of fasteners also said it expects to post sales in the current fiscal year that are "" slightly above "" fiscal 1989 sales of $ 155 million . ",said and expects have no relationship,said ,expects ,NONE
"GMAC said its automotive financing and leasing business rose 35 % in the U.S., largely because of dealer and customer incentives used to boost sales . ",used is the cause of rose ,used ,rose ,Cause-Effect
um So it 's a - it 's a fallacy that they 're doing this because um the sickest patients are n't being served . ,served is the cause of doing ,served ,doing ,Cause-Effect
"Acquisition said 2.2 million shares , or about 38.5 % of the shares outstanding , have been tendered under its offer . ",tendered and said have no relationship,tendered ,said ,NONE
"Mr. de Cholet said Mr. Fournier 's biggest hope was to somehow persuade regulatory authorities to block the bid . For the moment , the sources said , he has decided against seeking a white knight or organizing a counterbid for Paribas . ",block and seeking have no relationship,block ,seeking ,NONE
"Last year , Russian officials assailed Ukraine for holding joint naval exercises with NATO in the Black Sea _ an area Moscow considers its own turf . In the past , Russia has often claimed that Ukraine was undermining efforts at closer cooperation within the CIS . ",exercises and undermining have no relationship,exercises ,undermining ,NONE
The unit said it can provide no assurance a transaction will occur . ,transaction and provide have no relationship,transaction ,provide ,NONE
"James Fallon , a New Providence , N.J., marketing consultant to the chemicals industry , says Du Pont still holds an edge in making the pigment because the company was "" first in with the technology "" to lower costs . ",was is the cause of holds ,was ,holds ,Cause-Effect
"The British chemical and textile company 's plan , which requires shareholder approval , would create a new , listed U.K. stock with a probable market capitalization between # 300 million ( $ 473 million ) and # 400 million , analysts said . Courtaulds ' restructuring is among the largest thus far in Britain , though it is dwarfed by B.A.T Industries PLC 's plans to spin roughly off # 4 billion in assets to help fend off a takeover bid from Anglo - French financier Sir James Goldsmith . ",create and help have no relationship,create ,help ,NONE
"With the passing of the heady days of swelling industry sales , however , the once-sporadic and brief forays into discounting are becoming standard competitive weapons in the beer industry . Mr. Thompson calls discounting "" a loser 's game for anyone without a dominant market share , "" and projected that Anheuser 's statement of intent could simply be a means of warning competitors to ease up on price-cutting or face a costly and fruitless battle . ",becoming and warning have no relationship,becoming ,warning ,NONE
The thrift holding company said it expects to obtain regulatory approval and complete the transaction by year-end . ,obtain and expects have no relationship,obtain ,expects ,NONE
"The Atlanta-based airline , the third largest in the U.S., attributed the increase to higher passenger traffic , new international routes and reduced service by rival Eastern Airlines , which is in bankruptcy proceedings in the wake of a strike that began last spring . ",strike is the cause of proceedings ,strike ,proceedings ,Cause-Effect
"Each note is being offered at $ 308.32 per $ 1,000 principal amount at maturity , representing an 8 % yield to maturity . In addition , each note can be converted into Blockbuster Entertainment common stock at a rate of 13.851 shares per note . ",offered and converted have no relationship,offered ,converted ,NONE
"Lawrence Insurance also sold 3.2 million of its shares for $ 7.125 each to its parent , Lawrence Group Inc. Lawrence Insurance underwrites mostly primary insurance , a company spokesman said . ",sold and underwrites have no relationship,sold ,underwrites ,NONE
"Because of program trading it is more difficult to trade many OTC stocks without sharp price moves , a condition known as illiquidity . ",trading is the cause of difficult ,trading ,difficult ,Cause-Effect
"And powerful political pressures may convince the Conservative government to keep its so-called golden share , which limits any individual holding to 15 % , until the restriction expires on Dec . 31 , 1990 . ",pressures is the cause of keep ,pressures ,keep ,Cause-Effect
"She said she gave the Amir brothers false information regarding the location of a weapons and ammunition cache when they asked her to help organize such a movement . The rabbi said called the talk about killing Rabin "" nonsense , "" and said Jews are prohibited from killing one another , the radio reports said . ",organize and talk have no relationship,organize ,talk ,NONE
"Peter DaPuzzo , head of retail equity trading at Shearson Lehman Hutton , acknowledges that he was n't troubled by program trading when it began in the pre-crash bull market because it added liquidity and people were pleased to see stock prices rising . ",pleased is the cause of troubled ,pleased ,troubled ,Cause-Effect
"Chief Superintendent Al McHugh said the bomb discovered in the Irish Republic was destined for an unknown target in Northern Ireland and "" would have caused massive destruction . "" ",bomb is the cause of destruction ,bomb ,destruction ,Cause-Effect
"First Security Corp. said it tentatively agreed to acquire Deseret Bancorp . Terms call for First Security to issue about 0.55 share of its stock for each Deseret share held , or a total of about 550,000 First Security shares . ",agreed and call have no relationship,agreed ,call ,NONE
Yesterday New York governor George Pataki toured five counties that have been declared under a state of emergency . The lights are out and the heat is off and those vital signs are not likely to change much over the next several days for p - people in parts of the northeastern US and eastern Canada . ,declared and off have no relationship,declared ,off ,NONE
"Magna recently cut its quarterly dividend in half and the company 's Class A shares are wallowing far below their 52-week high of 16.125 Canadian dollars ( US $ 13.73 ) . Magna International Inc.'s chief financial officer , James McAlpine , resigned and its chairman , Frank Stronach , is stepping in to help turn the automotive-parts manufacturer around , the company said . ",wallowing and turn have no relationship,wallowing ,turn ,NONE
"Customers holding contracts for Waertsilae Marine 's undelivered ships are expected to subscribe most of the remaining 170 million markkaa in share capital , government officials said . Subcontractors will be offered a settlement and a swift transition to new management is expected to avert an exodus of skilled workers from Waertsilae Marine 's two big shipyards , government officials said . ",expected and avert have no relationship,expected ,avert ,NONE
The warning by the U.S. attorney 's office follows two decisions by the U.S. Supreme Court last June . ,decisions is the cause of warning ,decisions ,warning ,Cause-Effect
National Intergroup Inc. said it expects to report a charge of $ 5.3 million related to the sale of its aluminum unit 's extrusion division for the third quarter . ,said and report have no relationship,said ,report ,NONE
"Ritter 's return is seen as something of a test of that agreement , under which Iraq agreed to give inspectors full access to eight of Saddam Hussein 's presidential palaces . ",agreement is the cause of access ,agreement ,access ,Cause-Effect
"Not all Cubans believe , but Castro has invited everyone to welcome the man who has been one of Communism 's most effective adversaries , and that 's why there is suspense . ",invited is the cause of suspense ,invited ,suspense ,Cause-Effect
"The British paper , packaging and publishing concern , said profit from continuing lines fell 10 % to # 118 million from # 130.6 million . Pretax profit fell 3.7 % to # 128 million from # 133 million and was below analysts ' expectations of # 130 million to # 135 million , but shares rose 6 pence to 388 pence in early trading yesterday in London . ",said and trading have no relationship,said ,trading ,NONE
"Serbian police say they are trying to eliminate the pro-independence Kosovo Liberation Army and restore order . The police barred the crowd from reaching the Yugoslavian consulate in downtown Istanbul , but allowed them to demonstrate on nearby streets . ",eliminate and allowed have no relationship,eliminate ,allowed ,NONE
"As Justice Stephen Breyer asked in a strong dissent , "" what sense does it make "" to apply citizenship barriers "" only to fathers and not to mothers in today 's world _ where paternity can readily be proved and where women and men both are likely to earn a living in the workplace ? "" The department retreated from its position in the VMI case when it argued that the government could not make policy based on stereotypes "" even when those stereotypes reflect current realities . "" ",dissent and retreated have no relationship,dissent ,retreated ,NONE
"Secretary of State James Baker said on ABC - TV 's "" This Week With David Brinkley "" that the series of United Nations resolutions condemning Iraq 's invasion of Kuwait "" imply that the restoration of peace and stability in the Gulf would be a heck of a lot easier if he and that leadership were not in power in Iraq . "" ",condemning is the cause of easier ,condemning ,easier ,Cause-Effect
"The so-called poison pill took effect Aug . 9 pending ratification by holders . Once triggered , the rights allow holders to buy additional shares at 50 % of the then current market price or , at the board 's discretion , to receive securities or assets . ",took and buy have no relationship,took ,buy ,NONE
It also was considering a restructuring to help boost the stock price . ,restructuring is the cause of boost ,restructuring ,boost ,Cause-Effect
"He said Du Pont holds about 23 % of the world-wide market , the largest single share , at a time when growing uses for the pigment have kept it in tight supply , although others are now adding low-cost production capacity . The profit gain was made despite a weakening in the housing market , for which the company is a supplier , and a strengthening in the dollar , which lowers the value of overseas earnings when they are translated into dollars . ",said and lowers have no relationship,said ,lowers ,NONE
"The New York Times said in an editorial on Saturday , April 25 : The Supreme Court took a detour this week from the core principle of gender fairness it vindicated two years ago in its ruling invalidating the use of sexual stereotypes to justify denying women admission to the Virginia Military Institute . ",ruling and use have no relationship,ruling ,use ,NONE
UNOS spokeswoman Donna Henry Wright says the new policy would not necessarily be more fair or effective because allowances are already made for the most needy patients . ,made is the cause of fair ,made ,fair ,Cause-Effect
The acceptances give Orkem a controlling 53.2 % stake in the company . Orkem said it eventually would seek to make a public share offering in its U.K. business . ,give and seek have no relationship,give ,seek ,NONE
"Iraq clearly is trying to woo back more Arab support in case the conflict drags on , hoping that its neighbors eventually will help it survive a prolonged war of economic attrition with the West . So Saddam Hussein on Friday tried to scare other Arab leaders into supporting him by calling on Arabs to rise up in a holy war against leaders who invited American and other Western soldiers into Saudi Arabia to protect the oil-rich kingdom . ",trying is the cause of tried ,trying ,tried ,Cause-Effect
"Property / casualty insurance has been a tough business in recent quarters , as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake have resulted in huge payments . A spokeswoman for Crum amp Forster said employees were told early this week that numerous staff functions for the personal insurance lines were going to be centralized as a cost-cutting move . ",payments and centralized have no relationship,payments ,centralized ,NONE
"Automatic Data is redeeming the bonds because the after-tax cost of the interest on the bonds is higher than the dividend yield on the common , a spokesman said . ",higher is the cause of redeeming ,higher ,redeeming ,Cause-Effect
"Waxman Industries Inc. said holders of $ 6,542,000 face amount of its 6 1/4 % convertible subordinated debentures , due March 15 , 2007 , have elected to convert the debt into about 683,000 common shares . ",convert and due have no relationship,convert ,due ,NONE
"In national over-the-counter trading yesterday , AEP shares closed at $ 21.25 , down 50 cents . After the split , the company will have more than 4.7 million shares outstanding . ",closed and have have no relationship,closed ,have ,NONE
The projection sent Anheuser shares plunging $ 4.375 in New York Stock Exchange composite trading yesterday . ,projection is the cause of plunging ,projection ,plunging ,Cause-Effect
"Additionally , the bank is increasing its loan-loss reserves for the third quarter by $ 8.5 million before taxes . The thrift announced the plan Aug . 21 . ",increasing and announced have no relationship,increasing ,announced ,NONE
"After a short , sharp drop when Asia 's financial problems first became clear , the stock market has rebounded and corporate profits have remained healthy . Some of the biggest employment gains came in the construction industry , which added 92,000 jobs in January . ",became and came have no relationship,became ,came ,NONE
"The Wilmington , Mass . , garment service company also boosted its quarterly dividend 20 % to three cents a share adjusted for the split . The split and quarterly dividend will be payable Jan . 3 to stock of record Nov . 16 , the company said . ",split and payable have no relationship,split ,payable ,NONE
"In addition , they will receive stock in the reorganized company , which will be named Ranger Industries Inc. ",named and receive have no relationship,named ,receive ,NONE
The offer is being launched pursuant to a previously announced agreement between the companies . ,agreement is the cause of launched ,agreement ,launched ,Cause-Effect
"Poughkeepsie also expects to post a one-time charge of $ 8.3 million , resulting in a net loss for the third quarter . ",post is the cause of loss ,post ,loss ,Cause-Effect
"An international land , sea and air force has mobilized since Iraq 's invasion , which was sparked by disputes over oil , land and repayment of war loans . ",disputes is the cause of invasion ,disputes ,invasion ,Cause-Effect
"Dow Jones , which owns about 64 million of Telerate 's 95 million common shares outstanding , said that about 24,000 shares have been tendered under its offer . Dow Jones amp Co. said it extended its $ 18-a-share offer for Telerate Inc. common stock until 5 p.m. EST Nov. 9 . ",tendered and offer have no relationship,tendered ,offer ,NONE
The company has made payments of $ 175 million against the original $ 585 million of bank debt incurred in connection with the recapitalization . The restaurant operator cited transaction costs from its 1988 recapitalization as a result of a $ 160 million restructuring of its bank debt . ,incurred and cited have no relationship,incurred ,cited ,NONE
"But because these claims are more difficult to evaluate and have been coming in more slowly , the company has no estimate of the impact of the earthquake on fourth-quarter results . Aetna Life amp Casualty Co.'s third-quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions . ",difficult and results have no relationship,difficult ,results ,NONE
"U.S. commanders said 5,500 Iraqi prisoners were taken in the first hours of the ground war , though some military officials later said the total may have climbed above 8,000 . ",war and taken have no relationship,war ,taken ,NONE
Iraq now controls 20 percent of the world 's oil reserves with its conquest of Kuwait . ,conquest is the cause of controls ,conquest ,controls ,Cause-Effect
She said the move would result in a after-tax charge of less than $ 4 million to be spread over the next three quarters . ,move and spread have no relationship,move ,spread ,NONE
Saddam appeared to accept a border demarcation treaty he had rejected in peace talks following the August 1988 cease-fire of the eight-year war with Iran . ,ceasefire is the cause of talks ,ceasefire ,talks ,Cause-Effect
"DPC Acquisition said it had received the reasonable assurance of Chase Manhattan Bank N.A. that the financing can be obtained . Dataproducts officials declined to comment , and said they had not yet seen a suit filed in federal court by DPC Acquisition that seeks to nullify a standstill agreement between DPC Acquisition and Dataproducts . ",said and seen have no relationship,said ,seen ,NONE
The main negative is the risk that the Pope 's visit will persuade a great many more Cubans to break loose of the Cuban government . ,visit is the cause of break ,visit ,break ,Cause-Effect
"The company benefited from continued strong demand and higher selling prices for titanium dioxide , a white pigment used in paints , paper and plastics . A spokesman for Seagram , the Montreal wine and spirits concern controlled by the Bronfman family , said the company will post additional pretax profit of about $ 33 million a year because of the additional Du Pont dividends . ",demand and post have no relationship,demand ,post ,NONE
"A Reuters spokesman said the departure reflects "" no change in strategy or profits . "" ",departure is the cause of change ,departure ,change ,Cause-Effect
"In response to BellSouth 's amended pact , the Kirkland , Wash . , company extended its own offer to buy 22 million LIN shares for $ 125 apiece , which would give McCaw a 50.3 % controlling interest . ",pact is the cause of extended ,pact ,extended ,Cause-Effect
"Compaq Computer Corp. said that its net income rose 51 % in the third quarter , bolstered by unusual gains from its investment in a disk-drive maker and reflecting continued growth in its European operations . ",investment is the cause of bolstered ,investment ,bolstered ,Cause-Effect
"In anticipation of the start-up of its new factory , the company said a larger-than-normal chassis supply has been built to carry it through the transition period . The truck maker said the significant drop in net income will result in lower earnings for the fiscal year . ",built and said have no relationship,built ,said ,NONE
"One of President Bush 's sons has informed White House Chief of Staff John Sununu that he has lost much of his support among Republicans , prompting an intense effort by Sununu to hold on to his job by demonstrating his GOP backing , White House and Republican sources said Monday . One senior official Monday described the White House as "" a collection of small groups of aides holding their breaths , "" waiting to see whether Sununu survives . ",informed and described have no relationship,informed ,described ,NONE
"In addition , Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities . ",allow is the cause of logical ,allow ,logical ,Cause-Effect
"Neither Equus nor Tony Lama gave a reason for the changed offer and Tony Lama could n't be reached for comment . However , Tony Lama said it would promptly submit the offer to a special committee of the company 's board . ",gave and said have no relationship,gave ,said ,NONE
"I would be very surprised if his departure signals any change in strategy or change in profit expectations . "" "" There is no business reason for my departure , "" nor any disagreement over policy , he added . ",surprised and departure have no relationship,surprised ,departure ,NONE
"Trustcorp Inc. will become Society Bank amp Trust when its merger is completed with Society Corp. of Cleveland , the bank said . The transaction is expected to close around year end . ",merger and transaction have no relationship,merger ,transaction ,NONE
"One of President Bush 's sons has informed White House Chief of Staff John Sununu that he has lost much of his support among Republicans , prompting an intense effort by Sununu to hold on to his job by demonstrating his GOP backing , White House and Republican sources said Monday . ",lost is the cause of hold ,lost ,hold ,Cause-Effect
"In Washington today , the Federal Aviation Administration released air traffic control tapes from the night the TWA Flight eight hundred went down . TWA 's eight hundred heavy climb and maintain one five thousand leavin - three thousand . ",released and maintain have no relationship,released ,maintain ,NONE
"The Kearny , N.J.-based maker of hair accessories and other cosmetic products said it cut the dividend due to its third-quarter loss of $ 992,000 , or 15 cents a share . ",loss is the cause of cut ,loss ,cut ,Cause-Effect
"THE HAGUE , Netherlands ( AP ) _ The World Court Friday rejected U.S. and British objections to a Libyan World Court case that has blocked the trial of two Libyans suspected of blowing up a Pan Am jumbo jet over Scotland in 1988 . ",objections is the cause of trial ,objections ,trial ,Cause-Effect
"A.L. Williams Corp. was merged into Primerica Corp., New York , after a special meeting of Williams shareholders cleared the transaction , the companies said . Terms were n't disclosed . ",merged and disclosed have no relationship,merged ,disclosed ,NONE
"CMS ENERGY Corp. said management would recommend to its board today that its common stock dividend be reinstated at a "" modest level "" later this year . In addition , CMS reported third-quarter net of $ 68.2 million , or 83 cents a share , up from $ 66.8 million , or 81 cents a share , a year ago . ",said and reported have no relationship,said ,reported ,NONE
"Still , analysts said the accord does n't suggest Japan is opening up to more foreign takeovers . GM and Ford are expected to go head to head in the markets to buy up rival 15 % stakes in Jaguar . ",opening and go have no relationship,opening ,go ,NONE
""" We anticipate that steel market conditions will exhibit a further moderate decline in the fourth quarter as the automotive sector remains weak and customers continue to adjust inventories , "" said Bethlehem Chairman Walter F. Williams . Last year 's results were hurt by $ 41.3 million in restructuring charges . ",exhibit and hurt have no relationship,exhibit ,hurt ,NONE
"Fidelity 's junk fund has fallen 2.08 % this year through Oct . 19 , Lipper says ; Still , two-thirds of the outflow has been steered into other Vanguard portfolios , says Brian Mattes , a vice president . ",says and steered have no relationship,says ,steered ,NONE
"I do n't believe they have the culture "" to adequately service high-net-worth individuals , he adds . Mr. Taylor also was named a director , increasing the board to 22 , but is not part of the new office of the chairman . ",believe and director have no relationship,believe ,director ,NONE
"The portfolio unit of the French bank group Credit Lyonnais told stock market regulators that it bought 43,000 shares of Cie . Earlier yesterday , the Societe de Bourses Francaises was told that a unit of Framatome S.A. also bought Navigation Mixte shares , this purchase covering more than 160,000 shares . ",bought and purchase have no relationship,bought ,purchase ,NONE
London shares were depressed initially by overnight losses in New York and by the drop in sterling after Mr. Lawson 's resignation . ,losses is the cause of depressed ,losses ,depressed ,Cause-Effect
The president also has offered to help offset Jordan 's costs because 40 percent of its exports go to Iraq and 90 percent of its oil comes from there . ,go is the cause of offered ,go ,offered ,Cause-Effect
"The price of Columbia shares has been cut nearly in half since August , when they traded at about $ 10 , as investors apparently realized that the thrift would be forced to take a big write-down . ",realized is the cause of cut ,realized ,cut ,Cause-Effect
"Upjohn Co. said it will offer an early retirement package to as many as 1,100 employees in a cost-cutting move expected to result in a fourth-quarter charge . ",move is the cause of charge ,move ,charge ,Cause-Effect
"Profit for its commercial insurance division fell 30 % to $ 59 million , reflecting higher catastrophe losses and the price war in the property / casualty market for nearly three years . ",fell is the cause of war ,fell ,war ,Cause-Effect
"It includes removing $ 242 million in good will from the books , issuing $ 150 million in preferred stock and commencing an exchange offer for $ 52 million in convertible bonds . Coast Savings Financial Inc. reported a third-quarter loss , citing a previously announced capital restructuring program . ",issuing and citing have no relationship,issuing ,citing ,NONE
"Jayark Corp. agreed to pay $ 4 million in cash , $ 2 million of 12 % convertible debentures , and 1.6 million common shares to acquire closely held Kofcoh Imports Inc. In over-the-counter trading Friday , Jayark was quoted at 87.5 cents bid , down 15.625 cents . ",agreed and trading have no relationship,agreed ,trading ,NONE
The New Orleans oil and gas exploration and diving operations company added that it does n't expect any further adverse financial impact from the restructuring . ,expect and restructuring have no relationship,expect ,restructuring ,NONE
"At a news conference with US Vice President Al Gore in Jerusalem , Mr. Netanyahu suggested Israel might be willing to move a little on issues holding up peace , but he said he expects an equal effort from the Palestinians . Israeli Prime Minister Benjamin Netanyahu says considerable gaps remain between Israeli and Palestinian positions before next week 's talks in London . ",willing and remain have no relationship,willing ,remain ,NONE
"The Atlanta-based airline , the third largest in the U.S., attributed the increase to higher passenger traffic , new international routes and reduced service by rival Eastern Airlines , which is in bankruptcy proceedings in the wake of a strike that began last spring . ",increase and attributed have no relationship,increase ,attributed ,NONE
"Libya , which brought the case to the United Nations ' highest judicial body in its dispute with the United States and Britain , hailed the ruling and said it would press anew for a trial in a third neutral country . Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 , claiming Security Council resolutions imposed on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men . ",press and claiming have no relationship,press ,claiming ,NONE
"In the northern California town of Rio Nido , officials say a football field sized slab of hillside could still break loose at any time and destroy an entire neighborhood . From member station KQED , Auncil Martinez reports . ",destroy and reports have no relationship,destroy ,reports ,NONE
"In a telephone interview , Mr. Reupke said his departure was for "" personal reasons , "" which he declined to specify . ",reasons is the cause of departure ,reasons ,departure ,Cause-Effect
"The company said the restructuring 's initial phase will feature a gradual reduction in assets and staff positions . Details of the restructuring wo n't be made final until regulators approve the regulations mandated by the new federal act , the company said . ",said and approve have no relationship,said ,approve ,NONE
"For e-commerce to flourish with full-blown end-to-end business transactions , strategic planning which incorporates both business and technology plans that are complementary is necessary for an organisation to see feasible returns on investment . With the convergence of communications and information technologies ( IT ) coupled with the coming of age for the Internet and its related technologies , the stage is set for Malaysians to seize the chance to transform into a knowledge society and become worthy opponents / players in the global market space . ",flourish and become have no relationship,flourish ,become ,NONE
"In the latest quarter , Aetna had a $ 23 million loss on its auto / homeowners line , compared with earnings of $ 33 million last year . Profit for its commercial insurance division fell 30 % to $ 59 million , reflecting higher catastrophe losses and the price war in the property / casualty market for nearly three years . ",had and war have no relationship,had ,war ,NONE
"Integra , which owns and operates hotels , said that Hallwood Group Inc. has agreed to exercise any rights that are n't exercised by other shareholders . Under the offer , shareholders will receive one right for each 105 common shares owned . ",exercised and owned have no relationship,exercised ,owned ,NONE
Pol Pot is considered responsible for the radical policies that led to the deaths of as many as 1.7 million Cambodians when the communist group held power in the late 1970s . ,policies is the cause of deaths ,policies ,deaths ,Cause-Effect
"For e-commerce to flourish with full-blown end-to-end business transactions , strategic planning which incorporates both business and technology plans that are complementary is necessary for an organisation to see feasible returns on investment . ",planning is the cause of see ,planning ,see ,Cause-Effect
"Society Corp., which is also a bank , agreed in June to buy Trustcorp for 12.4 million shares of stock with a market value of about $ 450 million . Trustcorp Inc. will become Society Bank amp Trust when its merger is completed with Society Corp. of Cleveland , the bank said . ",buy and merger have no relationship,buy ,merger ,NONE
"The spokesman said that the proposed guidelines caused Crossland to revise its business objectives and , consequently , to write down the asset value of some previous acquisitions . ",revise is the cause of write ,revise ,write ,Cause-Effect
"She says her group is appealing to individuals , to the international community , and to the combatants and people of Afghanistan to stop the bloodletting which has torn the country apart . The aim is to bring in not only the focus on women 's right to education , access to work , but look beyond that and look at the roots of , uh of these problems . ",appealing and look have no relationship,appealing ,look ,NONE
The company said that because of softening sales it is n't in compliance with requirements that it maintain $ 3 million in working capital . ,sales is the cause of in ,sales ,in ,Cause-Effect
